Name	1. Avengers: Endgame:	2. The Little Mermaid	3. Booksmart	4. Talk to Me	5. Interstellar	6. The Irishman
Hiba	\N	5	\N	\N	\N	\N
Ali	\N	\N	\N	4	5	\N
Omar	\N	\N	\N	\N	\N	5
Tony	\N	\N	\N	\N	3	5
Youssef	4	\N	2	\N	\N	5
Adil	3	\N	5	\N	5	\N
Jor	3	\N	\N	\N	3	\N
Sarah	\N	\N	\N	3	\N	4
Lilly	4	\N	5	\N	2	\N
Lauren	5	\N	\N	\N	3	3
Jeannie	5	\N	\N	\N	5	3
Jonathan	5	\N	\N	\N	5	\N
Saloua	\N	\N	\N	\N	\N	\N
Sara	\N	\N	\N	\N	\N	\N
Christine	5	4	\N	\N	5	\N
Nancy	4	\N	\N	\N	\N	\N
Stephen	2	1	3	\N	\N	\N
Howard	4	\N	3	4	\N	\N
